book-ye.com.ua,"HTTPSConnectionPool(host='book-ye.com.ua', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='book-ye.com.ua', port=443): Read timed out. (read timeout=2)"
byggshop.se,"HTTPSConnectionPool(host='byggshop.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.byggshop.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
cad.go.th,"HTTPSConnectionPool(host='cad.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a4d5a580>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='cad.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a43a2b20>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
caicyt.gov.ar,"HTTPSConnectionPool(host='caicyt.gov.ar', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a3fb74f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='caicyt.gov.ar', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a3d5d0d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
cairo360.com,"HTTPSConnectionPool(host='www.cairo360.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='cairo360.com', port=443): Read timed out. (read timeout=2)"
caisse-epargne.fr,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
calcuworld.com,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
camara.cl,"HTTPSConnectionPool(host='camara.cl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a3fa9bb0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='camara.cl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a3f8dbe0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
camau.gov.vn,"HTTPSConnectionPool(host='camau.gov.vn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a3ff2b50>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='camau.gov.vn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a40a3310>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
camcom.it,"HTTPSConnectionPool(host='camcom.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a4497c70>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='camcom.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a40c1af0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
camera.it,"HTTPSConnectionPool(host='camera.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a3b23f10>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPSConnectionPool(host='www.camera.it', port=443): Read timed out. (read timeout=2)"
