iaen.edu.ec,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
ine.gob.gt,"HTTPSConnectionPool(host='ine.gob.gt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'ine.gob.gt' doesn't match 'www.ine.gob.gt'"")))","HTTPSConnectionPool(host='www.ine.gob.gt', port=443): Read timed out. (read timeout=2)"
ine.gub.uy,"HTTPSConnectionPool(host='ine.gub.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='ine.gub.uy', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb1600b5b0>, 'Connection to ine.gub.uy timed out. (connect timeout=2)'))"
inefop.org.uy,"HTTPSConnectionPool(host='inefop.org.uy', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7feb0ecaa8e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='inefop.org.uy', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7feb0ebff970>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
infarmed.pt,"HTTPSConnectionPool(host='infarmed.pt', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb1168e310>, 'Connection to infarmed.pt timed out. (connect timeout=2)'))","HTTPConnectionPool(host='infarmed.pt', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb0e79cd90>, 'Connection to infarmed.pt timed out. (connect timeout=2)'))"
infinitydesign.in.th,"HTTPSConnectionPool(host='www.infinitydesign.in.th', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.infinitydesign.in.th', port=443): Read timed out. (read timeout=2)"
infocenters.co.il,"HTTPSConnectionPool(host='infocenters.co.il', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='infocenters.co.il', port=443): Read timed out. (read timeout=2)"
infogate.cl,"HTTPSConnectionPool(host='www.infogate.cl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='infogate.cl', port=443): Read timed out. (read timeout=2)"
infoguia.co.cr,"HTTPSConnectionPool(host='infoguia.co.cr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb1554b130>, 'Connection to infoguia.co.cr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='infoguia.co.cr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb0e873f40>, 'Connection to infoguia.co.cr timed out. (connect timeout=2)'))"
infoguia.com,"HTTPSConnectionPool(host='infoguia.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb0eacedf0>, 'Connection to infoguia.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='infoguia.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb167b8610>, 'Connection to infoguia.com timed out. (connect timeout=2)'))"
infojuht.ee,"HTTPSConnectionPool(host='infojuht.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='infojuht.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
infomed.co.il,"HTTPSConnectionPool(host='infomed.co.il', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7feb1798a7c0>, 'Connection to infomed.co.il timed out. (connect timeout=2)'))","HTTPConnectionPool(host='infomed.co.il', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7feb1308b610>, 'Connection to infomed.co.il timed out. (connect timeout=2)'))"
infonegocios.biz,"HTTPSConnectionPool(host='infonegocios.biz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='infonegocios.biz', port=443): Read timed out. (read timeout=2)"
infonegocios.info,"HTTPSConnectionPool(host='infonegocios.info', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='infonegocios.info', port=443): Read timed out. (read timeout=2)"
