praewwedding.com,"HTTPSConnectionPool(host='praewwedding.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='praewwedding.com', port=443): Read timed out. (read timeout=2)"
pylimas.lt,"HTTPSConnectionPool(host='pylimas.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='pylimas.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
pzwl.pl,"HTTPSConnectionPool(host='pzwl.pl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='pzwl.pl', port=443): Read timed out. (read timeout=2)"
qatips.net,"HTTPSConnectionPool(host='qatips.net', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='qatips.net', port=443): Read timed out. (read timeout=2)"
qroo.gob.mx,"HTTPSConnectionPool(host='qroo.gob.mx', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='qroo.gob.mx', port=443): Read timed out. (read timeout=2)"
quedigital.com.ar,"HTTPSConnectionPool(host='quedigital.com.ar', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='quedigital.com.ar', port=443): Read timed out. (read timeout=2)"
quito.gob.ec,"HTTPSConnectionPool(host='quito.gob.ec', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='quito.gob.ec', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
raanana.muni.il,"HTTPSConnectionPool(host='raanana.muni.il', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f760a3dd610>, 'Connection to raanana.muni.il timed out. (connect timeout=2)'))","HTTPConnectionPool(host='raanana.muni.il', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f7607b220d0>, 'Connection to raanana.muni.il timed out. (connect timeout=2)'))"
rabim.info,"HTTPSConnectionPool(host='rabim.info', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f761004a4c0>, 'Connection to rabim.info timed out. (connect timeout=2)'))","HTTPConnectionPool(host='www.rabim.info', port=80): Read timed out. (read timeout=2)"
radio94.si,"HTTPSConnectionPool(host='radio94.si', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='radio94.si', port=80): Read timed out. (read timeout=2)"
radiomundial.com.ve,"HTTPSConnectionPool(host='radiomundial.com.ve', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f760e02a970>, 'Connection to radiomundial.com.ve timed out. (connect timeout=2)'))","HTTPConnectionPool(host='radiomundial.com.ve', port=80): Read timed out. (read timeout=2)"
radiopopular.pt,"HTTPSConnectionPool(host='radiopopular.pt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'radiopopular.pt' doesn't match '*.radiopopular.pt'"")))","HTTPSConnectionPool(host='radiopopular.pt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'radiopopular.pt' doesn't match '*.radiopopular.pt'"")))"
radioromaniacultural.ro,"HTTPSConnectionPool(host='www.radioromaniacultural.ro', port=443): Read timed out.","HTTPSConnectionPool(host='www.radioromaniacultural.ro', port=443): Read timed out."
radiosago.cl,"HTTPSConnectionPool(host='radiosago.cl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='radiosago.cl', port=443): Read timed out. (read timeout=2)"
radiosantafe.com,"HTTPSConnectionPool(host='radiosantafe.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'radiosantafe.com' doesn't match 'www.radiosantafe.com'"")))","HTTPConnectionPool(host='radiosantafe.com', port=80): Read timed out. (read timeout=2)"
radiotunisienne.tn,"HTTPSConnectionPool(host='radiotunisienne.tn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f760fddbb20>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='www.radiotunisienne.tn', port=80): Read timed out. (read timeout=2)"
raiceshandcrafts.com,"HTTPSConnectionPool(host='raiceshandcrafts.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='raiceshandcrafts.com', port=80): Read timed out. (read timeout=2)"
raiffeisen.ro,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: invalid code lengths set'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: invalid code lengths set'))"
rakuten.co.jp,"HTTPSConnectionPool(host='www.rakuten.co.jp', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.rakuten.co.jp', port=443): Read timed out. (read timeout=2)"
rakuten.com.tw,"HTTPSConnectionPool(host='www.rakuten.com.tw', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.rakuten.com.tw', port=443): Read timed out. (read timeout=2)"
rakuten.ne.jp,"HTTPSConnectionPool(host='rakuten.ne.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f760fc73760>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='rakuten.ne.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7610ad9a90>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
ralphs.com,"HTTPSConnectionPool(host='ralphs.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f760f859730>, 'Connection to ralphs.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='www.ralphs.com', port=80): Read timed out. (read timeout=2)"
ramajudicial.gov.co,"HTTPSConnectionPool(host='ramajudicial.gov.co', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f7608f5ce50>, 'Connection to ramajudicial.gov.co timed out. (connect timeout=2)'))","HTTPConnectionPool(host='ramajudicial.gov.co', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f760fdadf40>, 'Connection to ramajudicial.gov.co timed out. (connect timeout=2)'))"
raya.com,"HTTPSConnectionPool(host='www.raya.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.raya.com', port=443): Read timed out. (read timeout=2)"
rchsd.org,"HTTPSConnectionPool(host='rchsd.org', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f760832be20>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='rchsd.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f760f057ee0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
