handyman.dk,"HTTPSConnectionPool(host='handyman.dk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='handyman.dk', port=443): Read timed out. (read timeout=2)"
hua.gr,"HTTPSConnectionPool(host='hua.gr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847dd3f730>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hua.gr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f84823cb9d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
huffingtonpost.fr,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))"
huffingtonpost.gr,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))"
huffingtonpost.it,"HTTPSConnectionPool(host='huffingtonpost.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f84828e8790>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='huffingtonpost.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847aba9fa0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
huffingtonpost.jp,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))"
humaninc.nl,"HTTPSConnectionPool(host='humaninc.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8482d4c3d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='humaninc.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f848474bc10>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
humanite.fr,"HTTPConnectionPool(host='www.humanite.fr', port=80): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.humanite.fr', port=80): Read timed out. (read timeout=2)"
hungrygowhere.my,"HTTPSConnectionPool(host='www.hungrygowhere.my', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.hungrygowhere.my', port=443): Read timed out. (read timeout=2)"
hyogo.lg.jp,"HTTPSConnectionPool(host='hyogo.lg.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f84837a77f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hyogo.lg.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f84832fef40>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hzpp.hr,"HTTPSConnectionPool(host='hzpp.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f84848523a0>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='www.hzpp.hr', port=80): Read timed out. (read timeout=2)"
hzscr.cz,"HTTPSConnectionPool(host='hzscr.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'hzscr.cz' doesn't match either of 'mvcr.cz', '*.mvcr.cz', '*.policie.cz', '*.hzscr.cz', 'policie.cz', 'www.mvcr.cz'"")))","HTTPSConnectionPool(host='www.hzscr.cz', port=443): Read timed out. (read timeout=2)"
hzz.hr,"HTTPSConnectionPool(host='hzz.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847fd945b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hzz.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8480782cd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hzzo-net.hr,"HTTPSConnectionPool(host='hzzo-net.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847c20dd60>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hzzo-net.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8482fb5070>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
