baodanang.vn,"HTTPSConnectionPool(host='baodanang.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='baodanang.vn', port=443): Read timed out. (read timeout=2)"
binasss.sa.cr,"HTTPSConnectionPool(host='binasss.sa.cr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb9e6e20>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='binasss.sa.cr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fa09e0d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bio.edu.ee,"HTTPSConnectionPool(host='bio.edu.ee', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb5e05e0>: Failed to establish a new connection: [Errno 113] No route to host'))","HTTPConnectionPool(host='bio.edu.ee', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fac1adf0>: Failed to establish a new connection: [Errno 113] No route to host'))"
biocare.sk,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
birzeit.edu,"HTTPSConnectionPool(host='birzeit.edu', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fa3fb63ca30>, 'Connection to birzeit.edu timed out. (connect timeout=2)'))","HTTPConnectionPool(host='birzeit.edu', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fa3fb8f4640>, 'Connection to birzeit.edu timed out. (connect timeout=2)'))"
bisnis.com,Exceeded 30 redirects.,Exceeded 30 redirects.
bivica.org,"HTTPSConnectionPool(host='bivica.org', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bivica.org', port=443): Read timed out. (read timeout=2)"
biz.hr,"HTTPSConnectionPool(host='biz.hr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'biz.hr' doesn't match either of 'www.avalon.hr', 'avalon.hr'"")))","HTTPSConnectionPool(host='www.biz.hr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'www.biz.hr' doesn't match either of 'www.avalon.hr', 'avalon.hr'"")))"
bizreview.co.za,"HTTPSConnectionPool(host='www.bizreview.co.za', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bizreview.co.za', port=443): Read timed out. (read timeout=2)"
blackwoods.com.au,"HTTPSConnectionPool(host='blackwoods.com.au', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.blackwoods.com.au', port=443): Read timed out. (read timeout=2)"
blackxperience.com,"HTTPSConnectionPool(host='www.blackxperience.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.blackxperience.com', port=443): Read timed out. (read timeout=2)"
blibli.com,"HTTPSConnectionPool(host='www.blibli.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.blibli.com', port=443): Read timed out. (read timeout=2)"
blikopnieuws.nl,"HTTPSConnectionPool(host='blikopnieuws.nl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'blikopnieuws.nl' doesn't match 'www.blikopnieuws.nl'"")))","HTTPSConnectionPool(host='blikopnieuws.nl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'blikopnieuws.nl' doesn't match 'www.blikopnieuws.nl'"")))"
bloedjesnel.nl,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
blogcu.com,"HTTPSConnectionPool(host='blogcu.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fa87d550>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='blogcu.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fb874610>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
blogosfera.rs,"HTTPSConnectionPool(host='blogosfera.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='blogosfera.rs', port=443): Read timed out. (read timeout=2)"
blogradio.org,"HTTPSConnectionPool(host='blogradio.org', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='blogradio.org', port=443): Read timed out. (read timeout=2)"
bloombergquint.com,"HTTPSConnectionPool(host='bloombergquint.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='bloombergquint.com', port=443): Read timed out. (read timeout=2)"
bloomingdales.com,Exceeded 30 redirects.,Exceeded 30 redirects.
bmykey.com,"HTTPSConnectionPool(host='bmykey.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb834100>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bmykey.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fb4c5280>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bn.br,"HTTPSConnectionPool(host='bn.br', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb72eee0>: Failed to establish a new connection: [Errno 113] No route to host'))","HTTPConnectionPool(host='bn.br', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fbc9b130>: Failed to establish a new connection: [Errno 113] No route to host'))"
bncr.fi.cr,"HTTPSConnectionPool(host='bncr.fi.cr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3f80ee070>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bncr.fi.cr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fac3e760>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bne.es,"HTTPSConnectionPool(host='bne.es', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fa3fb8e86d0>, 'Connection to bne.es timed out. (connect timeout=2)'))","HTTPConnectionPool(host='bne.es', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fa3fb98d1c0>, 'Connection to bne.es timed out. (connect timeout=2)'))"
bnportugal.gov.pt,"HTTPSConnectionPool(host='bnportugal.gov.pt', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb9d9a60>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bnportugal.gov.pt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fac7b400>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bocongan.gov.vn,"HTTPSConnectionPool(host='bocongan.gov.vn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fa3f7b340a0>, 'Connection to bocongan.gov.vn timed out. (connect timeout=2)'))","HTTPConnectionPool(host='demo.bocongan.gov.vn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3f803e040>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bogtorvet.net,"HTTPSConnectionPool(host='bogtorvet.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.bogtorvet.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
bohemia.bg,"HTTPSConnectionPool(host='bohemia.bg', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'bohemia.bg' doesn't match 'www.bohemia.bg'"")))","HTTPSConnectionPool(host='bohemia.bg', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'bohemia.bg' doesn't match 'www.bohemia.bg'"")))"
boletinoficial.gob.ar,"HTTPSConnectionPool(host='boletinoficial.gob.ar', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3f8167b20>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='boletinoficial.gob.ar', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fac4ac70>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
