skijanje.rs,"HTTPSConnectionPool(host='www.skijanje.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.skijanje.rs', port=443): Read timed out. (read timeout=2)"
sri.gob.ec,"HTTPSConnectionPool(host='sri.gob.ec', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423ba06790>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='sri.gob.ec', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423d6bcdf0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
srilankamirror.com,"HTTPSConnectionPool(host='srilankamirror.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='srilankamirror.com', port=443): Read timed out. (read timeout=2)"
sru.ac.th,"HTTPSConnectionPool(host='sru.ac.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='sru.ac.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
ss24.lv,"HTTPSConnectionPool(host='ss24.lv', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423d390700>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='ss24.lv', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423cd53eb0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
stajerskival.si,"HTTPSConnectionPool(host='www.stajerskival.si', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='stajerskival.si', port=80): Read timed out. (read timeout=2)"
stampar.hr,"HTTPSConnectionPool(host='stampar.hr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='stampar.hr', port=443): Read timed out. (read timeout=2)"
stat.gov.rs,"HTTPSConnectionPool(host='www.stat.gov.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.stat.gov.rs', port=443): Read timed out. (read timeout=2)"
stat.si,"HTTPSConnectionPool(host='stat.si', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'stat.si' doesn't match '*.stat.si'"")))","HTTPSConnectionPool(host='stat.si', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'stat.si' doesn't match '*.stat.si'"")))"
statistics.sk,"HTTPSConnectionPool(host='statistics.sk', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423bafb250>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='statistics.sk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423c85c130>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
statssa.gov.za,"HTTPSConnectionPool(host='statssa.gov.za', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42346889a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='statssa.gov.za', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423b43bcd0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
stc.com.bh,"HTTPSConnectionPool(host='stc.com.bh', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f423bc7fc70>, 'Connection to stc.com.bh timed out. (connect timeout=2)'))","HTTPSConnectionPool(host='www.stc.com.bh', port=443): Read timed out. (read timeout=2)"
stcarparts.com,"HTTPSConnectionPool(host='stcarparts.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'stcarparts.com' doesn't match either of '*.car.gr', 'car.gr'"")))","HTTPSConnectionPool(host='stcarparts.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'stcarparts.com' doesn't match either of '*.car.gr', 'car.gr'"")))"
stetoskop.info,"HTTPSConnectionPool(host='www.stetoskop.info', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.stetoskop.info', port=443): Read timed out. (read timeout=2)"
stockholm.se,"HTTPSConnectionPool(host='stockholm.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))","HTTPSConnectionPool(host='stockholm.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1131)')))"
stops.lt,"HTTPSConnectionPool(host='stops.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.stops.lt', port=443): Max retries exceeded with url: /vilnius/ (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))"
