storylog.co,"HTTPSConnectionPool(host='storylog.co', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='storylog.co', port=443): Read timed out. (read timeout=2)"
techcombank.com.vn,"HTTPSConnectionPool(host='techcombank.com.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='techcombank.com.vn', port=443): Read timed out. (read timeout=2)"
techmoran.com,"HTTPSConnectionPool(host='techmoran.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='techmoran.com', port=443): Read timed out. (read timeout=2)"
technopro-online.com,"HTTPSConnectionPool(host='www.technopro-online.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.technopro-online.com', port=443): Read timed out. (read timeout=2)"
technorama.lt,"HTTPSConnectionPool(host='www.technorama.lt', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.technorama.lt', port=443): Read timed out. (read timeout=2)"
techtunes.co,"HTTPSConnectionPool(host='www.techtunes.io', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.techtunes.io', port=443): Read timed out. (read timeout=2)"
tecnacional.edu.ni,"HTTPSConnectionPool(host='tecnacional.edu.ni', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c52e2670>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='tecnacional.edu.ni', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53c299c2b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
tecoloco.com.ni,"HTTPSConnectionPool(host='tecoloco.com.ni', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c3e95550>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='tecoloco.com.ni', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53bc15ea90>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
tee.gr,"HTTPSConnectionPool(host='tee.gr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c40a0520>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='tee.gr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53c439fbe0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
teiath.gr,"HTTPSConnectionPool(host='teiath.gr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c4e44b20>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='teiath.gr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53c4088070>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
teiemt.gr,"HTTPSConnectionPool(host='teiemt.gr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53bd1b6130>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='teiemt.gr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53bd9727f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
